categoria_receita_codigo,categoria_receita_nome
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
2.0,RECEITAS DE CAPITAL
1.0,RECEITAS CORRENTES
2.0,RECEITAS DE CAPITAL
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
2.0,RECEITAS DE CAPITAL
1.0,RECEITAS CORRENTES
9.0,DEDUÇÕES DA RECEITA CORRENTE
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
2.0,RECEITAS DE CAPITAL
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
2.0,RECEITAS DE CAPITAL
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
9.0,DEDUÇÕES DA RECEITA CORRENTE
9.0,DEDUÇÕES DA RECEITA CORRENTE
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
2.0,RECEITAS DE CAPITAL
2.0,RECEITAS DE CAPITAL
2.0,RECEITAS DE CAPITAL
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
2.0,RECEITAS DE CAPITAL
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
7.0,RECEITAS CORRENTES INTRAORÇAMENTARIAS
2.0,RECEITAS DE CAPITAL
1.0,RECEITAS CORRENTES
9.0,DEDUÇÕES DA RECEITA CORRENTE
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
2.0,RECEITAS DE CAPITAL
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
9.0,DEDUÇÕES DA RECEITA CORRENTE
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
2.0,RECEITAS DE CAPITAL
1.0,RECEITAS CORRENTES
2.0,RECEITAS DE CAPITAL
1.0,RECEITAS CORRENTES
2.0,RECEITAS DE CAPITAL
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
2.0,RECEITAS DE CAPITAL
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
7.0,RECEITAS CORRENTES INTRAORÇAMENTARIAS
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
1.0,RECEITAS CORRENTES
